Date_Observed,streamfllow
01-01-1951,2919
01-02-1951,2589
01-03-1951,2091
01-04-1951,1850
01-05-1951,1957
01-06-1951,4491
01-07-1951,21305
01-08-1951,31333
01-09-1951,30134
01-10-1951,10768
01-11-1951,4580
01-12-1951,3268
01-01-1952,2309
01-02-1952,1685
01-03-1952,1411
01-04-1952,1294
01-05-1952,1627
01-06-1952,3936
01-07-1952,24815
01-08-1952,40802
01-09-1952,33333
01-10-1952,11953
01-11-1952,5820
01-12-1952,3761
01-01-1953,2304
01-02-1953,1946
01-03-1953,1564
01-04-1953,1228
01-05-1953,1359
01-06-1953,2942
01-07-1953,24569
01-08-1953,49411
01-09-1953,36982
01-10-1953,15014
01-11-1953,5966
01-12-1953,3717
01-01-1954,2798
01-02-1954,2410
01-03-1954,2607
01-04-1954,1985
01-05-1954,1937
01-06-1954,5696
01-07-1954,23134
01-08-1954,62694
01-09-1954,41424
01-10-1954,20759
01-11-1954,6991
01-12-1954,3887
01-01-1955,2807
01-02-1955,2668
01-03-1955,2008
01-04-1955,1499
01-05-1955,1705
01-06-1955,3891
01-07-1955,33922
01-08-1955,61363
01-09-1955,52121
01-10-1955,29764
01-11-1955,9754
01-12-1955,5106
01-01-1956,3460
01-02-1956,2829
01-03-1956,2235
01-04-1956,1937
01-05-1956,2807
01-06-1956,10199
01-07-1956,23482
01-08-1956,47602
01-09-1956,43415
01-10-1956,27375
01-11-1956,10719
01-12-1956,5399
01-01-1957,4224
01-02-1957,3508
01-03-1957,2641
01-04-1957,2176
01-05-1957,1922
01-06-1957,2484
01-07-1957,17856
01-08-1957,39765
01-09-1957,37021
01-10-1957,9705
01-11-1957,4473
01-12-1957,3042
01-01-1958,2449
01-02-1958,2154
01-03-1958,1849
01-04-1958,1652
01-05-1958,1954
01-06-1958,2423
01-07-1958,14350
01-08-1958,53410
01-09-1958,39848
01-10-1958,26097
01-11-1958,7733
01-12-1958,4224
01-01-1959,2978
01-02-1959,3062
01-03-1959,2342
01-04-1959,1866
01-05-1959,1864
01-06-1959,3980
01-07-1959,14250
01-08-1959,43717
01-09-1959,32093
01-10-1959,21400
01-11-1959,7424
01-12-1959,3924
01-01-1960,2667
01-02-1960,2119
01-03-1960,1962
01-04-1960,1693
01-05-1960,1535
01-06-1960,3188
01-07-1960,19448
01-08-1960,40943
01-09-1960,39015
01-10-1960,23856
01-11-1960,7917
01-12-1960,4468
01-01-1961,-999
01-02-1961,-999
01-03-1961,-999
01-04-1961,-999
01-05-1961,-999
01-06-1961,-999
01-07-1961,-999
01-08-1961,-999
01-09-1961,-999
01-10-1961,-999
01-11-1961,-999
01-12-1961,-999
01-01-1962,-999
01-02-1962,-999
01-03-1962,-999
01-04-1962,-999
01-05-1962,-999
01-06-1962,-999
01-07-1962,-999
01-08-1962,-999
01-09-1962,-999
01-10-1962,-999
01-11-1962,-999
01-12-1962,-999
01-01-1963,-999
01-02-1963,-999
01-03-1963,-999
01-04-1963,-999
01-05-1963,-999
01-06-1963,-999
01-07-1963,-999
01-08-1963,-999
01-09-1963,-999
01-10-1963,-999
01-11-1963,-999
01-12-1963,-999
01-01-1964,-999
01-02-1964,-999
01-03-1964,-999
01-04-1964,-999
01-05-1964,-999
01-06-1964,-999
01-07-1964,-999
01-08-1964,-999
01-09-1964,-999
01-10-1964,-999
01-11-1964,-999
01-12-1964,-999
01-01-1965,3087
01-02-1965,2431
01-03-1965,2124
01-04-1965,2122
01-05-1965,2915
01-06-1965,3492
01-07-1965,12090
01-08-1965,27790
01-09-1965,27810
01-10-1965,10160
01-11-1965,6153
01-12-1965,3591
01-01-1966,2726
01-02-1966,2341
01-03-1966,1972
01-04-1966,1403
01-05-1966,1429
01-06-1966,2762
01-07-1966,14690
01-08-1966,35570
01-09-1966,26270
01-10-1966,7131
01-11-1966,3831
01-12-1966,3070
01-01-1967,2394
01-02-1967,2083
01-03-1967,1509
01-04-1967,1494
01-05-1967,1636
01-06-1967,3232
01-07-1967,18950
01-08-1967,34340
01-09-1967,45930
01-10-1967,15280
01-11-1967,4990
01-12-1967,3863
01-01-1968,3051
01-02-1968,2360
01-03-1968,1843
01-04-1968,1608
01-05-1968,1576
01-06-1968,4232
01-07-1968,23437
01-08-1968,37104
01-09-1968,19331
01-10-1968,15874
01-11-1968,5483
01-12-1968,3363
01-01-1969,2265
01-02-1969,1773
01-03-1969,1491
01-04-1969,1472
01-05-1969,1710
01-06-1969,4112
01-07-1969,17004
01-08-1969,46262
01-09-1969,35098
01-10-1969,17855
01-11-1969,6636
01-12-1969,3977
01-01-1970,2564
01-02-1970,2145
01-03-1970,1999
01-04-1970,1754
01-05-1970,1950
01-06-1970,4948
01-07-1970,22358
01-08-1970,34186
01-09-1970,38992
01-10-1970,16894
01-11-1970,5668
01-12-1970,3463
01-01-1971,2408
01-02-1971,1962
01-03-1971,1782
01-04-1971,1969
01-05-1971,2594
01-06-1971,1181
01-07-1971,33815
01-08-1971,65072
01-09-1971,49568
01-10-1971,17490
01-11-1971,9401
01-12-1971,5365
01-01-1972,3181
01-02-1972,2697
01-03-1972,2387
01-04-1972,2032
01-05-1972,2032
01-06-1972,3834
01-07-1972,14047
01-08-1972,19042
01-09-1972,24693
01-10-1972,10686
01-11-1972,4786
01-12-1972,3371
01-01-1973,2289
01-02-1973,2086
01-03-1973,1605
01-04-1973,1594
01-05-1973,2207
01-06-1973,7032
01-07-1973,18657
01-08-1973,37886
01-09-1973,44573
01-10-1973,31053
01-11-1973,10015
01-12-1973,4677
